epoch,step,train/loss,train/reward,val/reward
0,9,,,-23.6200008392334
1,19,,,-23.010000228881836
2,29,,,-23.197999954223633
3,39,,,-23.04599952697754
4,49,-0.8214380145072937,-22.85637664794922,
4,49,,,-22.836000442504883
5,59,,,-22.73200035095215
6,69,,,-22.57200050354004
7,79,,,-22.304000854492188
8,89,,,-21.937999725341797
9,99,-0.8555237054824829,-21.93800926208496,
9,99,,,-21.81800079345703
