epoch,step,train/loss,train/reward,val/reward
0,9,,,-24.676000595092773
1,19,,,-24.375999450683594
2,29,,,-24.13800048828125
3,39,,,-23.983999252319336
4,49,-0.8059863448143005,-24.195791244506836,
4,49,,,-23.667999267578125
5,59,,,-23.464000701904297
6,69,,,-23.447999954223633
7,79,,,-23.32200050354004
8,89,,,-23.163999557495117
