epoch,step,train/loss,train/reward,val/reward
0,19,,,3.2594399452209473
1,39,,,3.2107200622558594
2,49,-0.22692124545574188,3.1754491329193115,
2,59,,,3.28128981590271
3,79,,,3.404589891433716
4,99,2.0796823501586914,3.5519118309020996,
4,99,,,3.5788698196411133
5,119,,,3.7391598224639893
6,139,,,4.1225996017456055
7,149,-1.1925206184387207,3.9444727897644043,
7,159,,,4.329389572143555
8,179,,,4.33044958114624
9,199,-1.2749886512756348,4.166874408721924,
9,199,,,4.355839729309082
