epoch,step,train/loss,train/reward,val/reward
0,19,,,-6.5811285972595215
1,39,,,-4.231430530548096
2,49,10.31026840209961,-4.056952953338623,
2,59,,,-3.10351824760437
3,79,,,-3.0759570598602295
4,99,-4.920685768127441,-3.1437625885009766,
4,99,,,-2.8172693252563477
5,119,,,-2.836503505706787
6,139,,,-2.842071294784546
7,149,-28.413257598876953,-3.445018768310547,
7,159,,,-2.784944534301758
8,179,,,-2.746028184890747
9,199,-8.302117347717285,-2.920186758041382,
9,199,,,-2.716970205307007
