epoch,step,train/loss,train/reward,val/reward
0,9,,,-38.04800033569336
1,19,,,-37.895999908447266
2,29,,,-38.08399963378906
3,39,,,-37.14799880981445
4,49,-2.3051934242248535,-37.87181091308594,
4,49,,,-36.54399871826172
5,59,,,-35.944000244140625
6,69,,,-35.465999603271484
7,79,,,-34.869998931884766
8,89,,,-34.486000061035156
9,99,-2.0388290882110596,-34.973724365234375,
9,99,,,-34.034000396728516
